import time: self [us] | cumulative | imported package
import time:        89 |         89 | winreg
import time:       242 |        242 |   _io
import time:        47 |         47 |   marshal
import time:       251 |        251 |   nt
import time:       627 |       1166 | _frozen_importlib_external
import time:       586 |        586 |   time
import time:       304 |        889 | zipimport
import time:       127 |        127 |     _codecs
import time:      1060 |       1187 |   codecs
import time:      2284 |       2284 |   encodings.aliases
import time:      2818 |       6289 | encodings
import time:      1158 |       1158 | encodings.utf_8
import time:        69 |         69 | _signal
import time:        28 |         28 |     _abc
import time:       191 |        218 |   abc
import time:       150 |        367 | io
import time:        53 |         53 |       _stat
import time:        94 |        147 |     stat
import time:       816 |        816 |     _collections_abc
import time:        90 |         90 |       genericpath
import time:        83 |         83 |       _winapi
import time:       239 |        411 |     ntpath
import time:       437 |       1809 |   os
import time:        85 |         85 |   _sitebuiltins
import time:        55 |         55 |   errno
import time:       667 |        667 |   encodings.utf_8_sig
import time:      1384 |       1384 |   _distutils_hack
import time:       283 |        283 |   sitecustomize
import time:      1772 |       6053 | site
import time:       161 |        161 |     itertools
import time:       916 |        916 |     keyword
import time:        78 |         78 |       _operator
import time:      1047 |       1125 |     operator
import time:       761 |        761 |     reprlib
import time:        82 |         82 |     _collections
import time:      2156 |       5198 |   collections
import time:        82 |         82 |       _functools
import time:      1346 |       1427 |     functools
import time:       919 |        919 |     types
import time:      2002 |       4347 |   enum
import time:     15312 |      15312 |   _tkinter
import time:      1048 |       1048 |   tkinter.constants
import time:       134 |        134 |       _sre
import time:       870 |        870 |         re._constants
import time:      1265 |       2134 |       re._parser
import time:       670 |        670 |       re._casefix
import time:      1253 |       4190 |     re._compiler
import time:       962 |        962 |     copyreg
import time:      1435 |       6586 |   re
import time:      3590 |      36079 | tkinter
import time:       793 |        793 |   app
import time:       167 |        167 |         _datetime
import time:       997 |       1164 |       datetime
import time:      4816 |       4816 |       _sqlite3
import time:      1349 |       1349 |       warnings
import time:      1319 |       8646 |     sqlite3.dbapi2
import time:      1019 |       9664 |   sqlite3
import time:       344 |        344 |         posix
import time:       305 |        305 |         posix
import time:       187 |        835 |       posixpath
import time:       934 |       1769 |     fnmatch
import time:        99 |         99 |     zlib
import time:       941 |        941 |       _compression
import time:      3091 |       3091 |       _bz2
import time:       988 |       5019 |     bz2
import time:      2469 |       2469 |       _lzma
import time:      1053 |       3522 |     lzma
import time:      1414 |      11820 |   shutil
import time:       911 |      23187 | app.database
import time:       732 |        732 |   app.ui
import time:      1429 |       1429 |   tkinter.ttk
import time:       756 |        756 |     tkinter.commondialog
import time:       747 |       1502 |   tkinter.messagebox
import time:       758 |        758 |     tkinter.dialog
import time:       958 |        958 |     tkinter.simpledialog
import time:      1076 |       2792 |   tkinter.filedialog
import time:       735 |        735 |   tkinter.font
import time:       109 |        109 |     _csv
import time:      1098 |       1207 |   csv
import time:       834 |        834 |       shlex
import time:        68 |         68 |           _locale
import time:      1289 |       1356 |         locale
import time:       737 |        737 |         signal
import time:       599 |        599 |           _weakrefset
import time:      1020 |       1619 |         threading
import time:      1194 |       1194 |         contextlib
import time:       331 |        331 |         fcntl
import time:        52 |         52 |         msvcrt
import time:      1200 |       6487 |       subprocess
import time:      1367 |       8687 |     webbrowser
import time:       801 |       9487 |   app.ui.about
import time:       851 |        851 |   app.ui.forms
import time:       721 |        721 |   app.ui.view
import time:       898 |        898 |     app.ui.components
import time:       940 |       1837 |   app.ui.components.main_menu
import time:       794 |        794 |   app.ui.components.dashboard
import time:       796 |        796 |   app.ui.components.contact_tree
import time:      1436 |      24315 | app.ui.main_window
import time:      1825 |       1825 |   calendar
import time:      2855 |       4680 | _strptime
